wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 2oulpdc2
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260619_092520-2oulpdc2
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.5_pruning_ratio_0.5_delta_t_86
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/2oulpdc2
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.5
num_mask_updates: 1000
t_end_ratio: 0.8
pruning_ratio: 0.5
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.5 | total_steps=108000 | t_end=86400 | delta_t=86

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.245, lr=0.0001, test_acc=0.105]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<05:43,  3.47s/it, acc=0.245, lr=0.0001, test_acc=0.105]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<05:43,  3.47s/it, acc=0.245, lr=0.0001, test_acc=0.105]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<05:43,  3.47s/it, acc=0.374, lr=0.0002, test_acc=0.284]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:29,  2.75s/it, acc=0.374, lr=0.0002, test_acc=0.284]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:29,  2.75s/it, acc=0.374, lr=0.0002, test_acc=0.284]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:29,  2.75s/it, acc=0.486, lr=0.0003, test_acc=0.413]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<04:04,  2.52s/it, acc=0.486, lr=0.0003, test_acc=0.413]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<04:04,  2.52s/it, acc=0.486, lr=0.0003, test_acc=0.413]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:10<04:04,  2.52s/it, acc=0.597, lr=0.0004, test_acc=0.415]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:10<03:51,  2.41s/it, acc=0.597, lr=0.0004, test_acc=0.415]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:10<03:51,  2.41s/it, acc=0.597, lr=0.0004, test_acc=0.415]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:51,  2.41s/it, acc=0.679, lr=0.0005, test_acc=0.355]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:45,  2.37s/it, acc=0.679, lr=0.0005, test_acc=0.355]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:45,  2.37s/it, acc=0.679, lr=0.0005, test_acc=0.355]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:45,  2.37s/it, acc=0.74, lr=0.0006, test_acc=0.383] 
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:38,  2.33s/it, acc=0.74, lr=0.0006, test_acc=0.383]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:38,  2.33s/it, acc=0.74, lr=0.0006, test_acc=0.383]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:38,  2.33s/it, acc=0.79, lr=0.0007, test_acc=0.302]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:33,  2.30s/it, acc=0.79, lr=0.0007, test_acc=0.302]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:33,  2.30s/it, acc=0.79, lr=0.0007, test_acc=0.302]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<03:33,  2.30s/it, acc=0.814, lr=0.0008, test_acc=0.422]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:19<03:29,  2.28s/it, acc=0.814, lr=0.0008, test_acc=0.422]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:19<03:29,  2.28s/it, acc=0.814, lr=0.0008, test_acc=0.422]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:29,  2.28s/it, acc=0.828, lr=0.0009, test_acc=0.219]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:27,  2.28s/it, acc=0.828, lr=0.0009, test_acc=0.219]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:27,  2.28s/it, acc=0.828, lr=0.0009, test_acc=0.219]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:27,  2.28s/it, acc=0.808, lr=0.001, test_acc=0.379] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:24,  2.27s/it, acc=0.808, lr=0.001, test_acc=0.379]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:24,  2.27s/it, acc=0.808, lr=0.001, test_acc=0.379]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:24,  2.27s/it, acc=0.85, lr=0.001, test_acc=0.393] 
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:21,  2.26s/it, acc=0.85, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:21,  2.26s/it, acc=0.85, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:21,  2.26s/it, acc=0.883, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:28<03:18,  2.25s/it, acc=0.883, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:28<03:18,  2.25s/it, acc=0.883, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:18,  2.25s/it, acc=0.909, lr=0.001, test_acc=0.403]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:17,  2.26s/it, acc=0.909, lr=0.001, test_acc=0.403]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:17,  2.26s/it, acc=0.909, lr=0.001, test_acc=0.403]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:17,  2.26s/it, acc=0.885, lr=0.001, test_acc=0.355]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:14,  2.26s/it, acc=0.885, lr=0.001, test_acc=0.355]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:14,  2.26s/it, acc=0.885, lr=0.001, test_acc=0.355]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:14,  2.26s/it, acc=0.923, lr=0.001, test_acc=0.509]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:35<03:11,  2.25s/it, acc=0.923, lr=0.001, test_acc=0.509]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:35<03:11,  2.25s/it, acc=0.923, lr=0.001, test_acc=0.509]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:11,  2.25s/it, acc=0.935, lr=0.001, test_acc=0.47] 
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:37<03:08,  2.25s/it, acc=0.935, lr=0.001, test_acc=0.47]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:37<03:08,  2.25s/it, acc=0.935, lr=0.001, test_acc=0.47]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:08,  2.25s/it, acc=0.944, lr=0.001, test_acc=0.429]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:39<03:06,  2.24s/it, acc=0.944, lr=0.001, test_acc=0.429]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:39<03:06,  2.24s/it, acc=0.944, lr=0.001, test_acc=0.429]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:06,  2.24s/it, acc=0.934, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:05,  2.26s/it, acc=0.934, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:05,  2.26s/it, acc=0.934, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:44<03:05,  2.26s/it, acc=0.945, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:44<03:02,  2.25s/it, acc=0.945, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:44<03:02,  2.25s/it, acc=0.945, lr=0.001, test_acc=0.432]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:02,  2.25s/it, acc=0.95, lr=0.001, test_acc=0.496] 
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:46<02:59,  2.25s/it, acc=0.95, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:46<02:59,  2.25s/it, acc=0.95, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<02:59,  2.25s/it, acc=0.958, lr=0.001, test_acc=0.505]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:48<02:57,  2.25s/it, acc=0.958, lr=0.001, test_acc=0.505]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:48<02:57,  2.25s/it, acc=0.958, lr=0.001, test_acc=0.505]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<02:57,  2.25s/it, acc=0.959, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:56,  2.26s/it, acc=0.959, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:56,  2.26s/it, acc=0.959, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:53<02:56,  2.26s/it, acc=0.943, lr=0.001, test_acc=0.362]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:53<02:53,  2.25s/it, acc=0.943, lr=0.001, test_acc=0.362]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:53<02:53,  2.25s/it, acc=0.943, lr=0.001, test_acc=0.362]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<02:53,  2.25s/it, acc=0.966, lr=0.001, test_acc=0.497]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:55<02:50,  2.25s/it, acc=0.966, lr=0.001, test_acc=0.497]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:55<02:50,  2.25s/it, acc=0.966, lr=0.001, test_acc=0.497]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:57<02:50,  2.25s/it, acc=0.955, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:57<02:48,  2.25s/it, acc=0.955, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:57<02:48,  2.25s/it, acc=0.955, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:48,  2.25s/it, acc=0.97, lr=0.001, test_acc=0.464] 
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:59<02:47,  2.26s/it, acc=0.97, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [00:59<02:47,  2.26s/it, acc=0.97, lr=0.001, test_acc=0.464]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:02<02:47,  2.26s/it, acc=0.959, lr=0.001, test_acc=0.489]
Iter 0 | Epoch 26:  27%|██▋       | 27/100 [01:02<02:44,  2.26s/it, acc=0.959, lr=0.001, test_acc=0.489]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:02<02:44,  2.26s/it, acc=0.959, lr=0.001, test_acc=0.489]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:04<02:44,  2.26s/it, acc=0.965, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 27:  28%|██▊       | 28/100 [01:04<02:42,  2.25s/it, acc=0.965, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:04<02:42,  2.25s/it, acc=0.965, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:06<02:42,  2.25s/it, acc=0.971, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:06<02:39,  2.25s/it, acc=0.971, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:06<02:39,  2.25s/it, acc=0.971, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:08<02:39,  2.25s/it, acc=0.974, lr=0.001, test_acc=0.46] 
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:08<02:37,  2.25s/it, acc=0.974, lr=0.001, test_acc=0.46]
