wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 7i7g6gvj
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260701_045737-7i7g6gvj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.3_pruning_ratio_0.5_delta_t_86
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/7i7g6gvj
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.3
num_mask_updates: 1000
t_end_ratio: 0.8
pruning_ratio: 0.5
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.3 | total_steps=108000 | t_end=86400 | delta_t=86

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.239, lr=0.0001, test_acc=0.133]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:15,  2.58s/it, acc=0.239, lr=0.0001, test_acc=0.133]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:15,  2.58s/it, acc=0.239, lr=0.0001, test_acc=0.133]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<04:15,  2.58s/it, acc=0.412, lr=0.0002, test_acc=0.348]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:04<03:54,  2.39s/it, acc=0.412, lr=0.0002, test_acc=0.348]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:04<03:54,  2.39s/it, acc=0.412, lr=0.0002, test_acc=0.348]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<03:54,  2.39s/it, acc=0.527, lr=0.0003, test_acc=0.298]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:45,  2.33s/it, acc=0.527, lr=0.0003, test_acc=0.298]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:45,  2.33s/it, acc=0.527, lr=0.0003, test_acc=0.298]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:45,  2.33s/it, acc=0.685, lr=0.0004, test_acc=0.362]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:40,  2.30s/it, acc=0.685, lr=0.0004, test_acc=0.362]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:40,  2.30s/it, acc=0.685, lr=0.0004, test_acc=0.362]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:40,  2.30s/it, acc=0.59, lr=0.0005, test_acc=0.35]  
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:39,  2.31s/it, acc=0.59, lr=0.0005, test_acc=0.35]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:39,  2.31s/it, acc=0.59, lr=0.0005, test_acc=0.35]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:13<03:39,  2.31s/it, acc=0.597, lr=0.0006, test_acc=0.395]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:13<03:35,  2.29s/it, acc=0.597, lr=0.0006, test_acc=0.395]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:13<03:35,  2.29s/it, acc=0.597, lr=0.0006, test_acc=0.395]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:35,  2.29s/it, acc=0.729, lr=0.0007, test_acc=0.333]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:31,  2.28s/it, acc=0.729, lr=0.0007, test_acc=0.333]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:31,  2.28s/it, acc=0.729, lr=0.0007, test_acc=0.333]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:31,  2.28s/it, acc=0.821, lr=0.0008, test_acc=0.402]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:28,  2.27s/it, acc=0.821, lr=0.0008, test_acc=0.402]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:28,  2.27s/it, acc=0.821, lr=0.0008, test_acc=0.402]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:28,  2.27s/it, acc=0.773, lr=0.0009, test_acc=0.231]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:28,  2.29s/it, acc=0.773, lr=0.0009, test_acc=0.231]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:28,  2.29s/it, acc=0.773, lr=0.0009, test_acc=0.231]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:28,  2.29s/it, acc=0.7, lr=0.001, test_acc=0.462]   
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:25,  2.28s/it, acc=0.7, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:25,  2.28s/it, acc=0.7, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:25,  2.28s/it, acc=0.807, lr=0.001, test_acc=0.335]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:22,  2.27s/it, acc=0.807, lr=0.001, test_acc=0.335]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:22,  2.27s/it, acc=0.807, lr=0.001, test_acc=0.335]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:22,  2.27s/it, acc=0.871, lr=0.001, test_acc=0.328]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:19,  2.27s/it, acc=0.871, lr=0.001, test_acc=0.328]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:19,  2.27s/it, acc=0.871, lr=0.001, test_acc=0.328]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:19,  2.27s/it, acc=0.902, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:29<03:18,  2.29s/it, acc=0.902, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:29<03:18,  2.29s/it, acc=0.902, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:18,  2.29s/it, acc=0.824, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:15,  2.28s/it, acc=0.824, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:15,  2.28s/it, acc=0.824, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:15,  2.28s/it, acc=0.899, lr=0.001, test_acc=0.434]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:12,  2.27s/it, acc=0.899, lr=0.001, test_acc=0.434]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:12,  2.27s/it, acc=0.899, lr=0.001, test_acc=0.434]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:12,  2.27s/it, acc=0.923, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:10,  2.27s/it, acc=0.923, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:10,  2.27s/it, acc=0.923, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:10,  2.27s/it, acc=0.946, lr=0.001, test_acc=0.473]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:38<03:07,  2.26s/it, acc=0.946, lr=0.001, test_acc=0.473]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:38<03:07,  2.26s/it, acc=0.946, lr=0.001, test_acc=0.473]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:07,  2.26s/it, acc=0.909, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:07,  2.28s/it, acc=0.909, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:07,  2.28s/it, acc=0.909, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:07,  2.28s/it, acc=0.915, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:04,  2.28s/it, acc=0.915, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:04,  2.28s/it, acc=0.915, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<03:04,  2.28s/it, acc=0.951, lr=0.001, test_acc=0.505]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:45<03:01,  2.27s/it, acc=0.951, lr=0.001, test_acc=0.505]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:45<03:01,  2.27s/it, acc=0.951, lr=0.001, test_acc=0.505]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<03:01,  2.27s/it, acc=0.956, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:47<02:59,  2.27s/it, acc=0.956, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:47<02:59,  2.27s/it, acc=0.956, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<02:59,  2.27s/it, acc=0.942, lr=0.001, test_acc=0.509]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:58,  2.29s/it, acc=0.942, lr=0.001, test_acc=0.509]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:58,  2.29s/it, acc=0.942, lr=0.001, test_acc=0.509]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:58,  2.29s/it, acc=0.916, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:55,  2.28s/it, acc=0.916, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:55,  2.28s/it, acc=0.916, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<02:55,  2.28s/it, acc=0.953, lr=0.001, test_acc=0.536]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:54<02:52,  2.27s/it, acc=0.953, lr=0.001, test_acc=0.536]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:54<02:52,  2.27s/it, acc=0.953, lr=0.001, test_acc=0.536]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:57<02:52,  2.27s/it, acc=0.966, lr=0.001, test_acc=0.548]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:57<02:50,  2.27s/it, acc=0.966, lr=0.001, test_acc=0.548]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:57<02:50,  2.27s/it, acc=0.966, lr=0.001, test_acc=0.548]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:50,  2.27s/it, acc=0.971, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:59<02:49,  2.29s/it, acc=0.971, lr=0.001, test_acc=0.515]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [00:59<02:49,  2.29s/it, acc=0.971, lr=0.001, test_acc=0.515]
