wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run lkqyegbp
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260630_033613-lkqyegbp
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.5_pruning_ratio_0.1_delta_t_86
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/lkqyegbp
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.5
num_mask_updates: 1000
t_end_ratio: 0.8
pruning_ratio: 0.1
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.5 | total_steps=108000 | t_end=86400 | delta_t=86

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.22, lr=0.0001, test_acc=0.135]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:21,  2.65s/it, acc=0.22, lr=0.0001, test_acc=0.135]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:21,  2.65s/it, acc=0.22, lr=0.0001, test_acc=0.135]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<04:21,  2.65s/it, acc=0.397, lr=0.0002, test_acc=0.31]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:04<03:58,  2.43s/it, acc=0.397, lr=0.0002, test_acc=0.31]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:04<03:58,  2.43s/it, acc=0.397, lr=0.0002, test_acc=0.31]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<03:58,  2.43s/it, acc=0.506, lr=0.0003, test_acc=0.331]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:48,  2.36s/it, acc=0.506, lr=0.0003, test_acc=0.331]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:48,  2.36s/it, acc=0.506, lr=0.0003, test_acc=0.331]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:48,  2.36s/it, acc=0.67, lr=0.0004, test_acc=0.342] 
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:43,  2.32s/it, acc=0.67, lr=0.0004, test_acc=0.342]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:43,  2.32s/it, acc=0.67, lr=0.0004, test_acc=0.342]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:43,  2.32s/it, acc=0.653, lr=0.0005, test_acc=0.367]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:41,  2.33s/it, acc=0.653, lr=0.0005, test_acc=0.367]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:41,  2.33s/it, acc=0.653, lr=0.0005, test_acc=0.367]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:41,  2.33s/it, acc=0.728, lr=0.0006, test_acc=0.31] 
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:37,  2.31s/it, acc=0.728, lr=0.0006, test_acc=0.31]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:37,  2.31s/it, acc=0.728, lr=0.0006, test_acc=0.31]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:37,  2.31s/it, acc=0.856, lr=0.0007, test_acc=0.39]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:33,  2.30s/it, acc=0.856, lr=0.0007, test_acc=0.39]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:33,  2.30s/it, acc=0.856, lr=0.0007, test_acc=0.39]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:33,  2.30s/it, acc=0.88, lr=0.0008, test_acc=0.409]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:30,  2.29s/it, acc=0.88, lr=0.0008, test_acc=0.409]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:30,  2.29s/it, acc=0.88, lr=0.0008, test_acc=0.409]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:30,  2.29s/it, acc=0.845, lr=0.0009, test_acc=0.352]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:30,  2.31s/it, acc=0.845, lr=0.0009, test_acc=0.352]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:30,  2.31s/it, acc=0.845, lr=0.0009, test_acc=0.352]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:30,  2.31s/it, acc=0.815, lr=0.001, test_acc=0.363] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:26,  2.30s/it, acc=0.815, lr=0.001, test_acc=0.363]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:26,  2.30s/it, acc=0.815, lr=0.001, test_acc=0.363]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:26,  2.30s/it, acc=0.863, lr=0.001, test_acc=0.339]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:23,  2.29s/it, acc=0.863, lr=0.001, test_acc=0.339]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:23,  2.29s/it, acc=0.863, lr=0.001, test_acc=0.339]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:23,  2.29s/it, acc=0.898, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:21,  2.28s/it, acc=0.898, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:21,  2.28s/it, acc=0.898, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:21,  2.28s/it, acc=0.91, lr=0.001, test_acc=0.408] 
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:20,  2.30s/it, acc=0.91, lr=0.001, test_acc=0.408]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:20,  2.30s/it, acc=0.91, lr=0.001, test_acc=0.408]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:20,  2.30s/it, acc=0.896, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:17,  2.29s/it, acc=0.896, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:17,  2.29s/it, acc=0.896, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:17,  2.29s/it, acc=0.919, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:14,  2.29s/it, acc=0.919, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:14,  2.29s/it, acc=0.919, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:14,  2.29s/it, acc=0.927, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:11,  2.28s/it, acc=0.927, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:11,  2.28s/it, acc=0.927, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:11,  2.28s/it, acc=0.95, lr=0.001, test_acc=0.454] 
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:39<03:09,  2.28s/it, acc=0.95, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:39<03:09,  2.28s/it, acc=0.95, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:09,  2.28s/it, acc=0.928, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:08,  2.30s/it, acc=0.928, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:08,  2.30s/it, acc=0.928, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:08,  2.30s/it, acc=0.938, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:05,  2.29s/it, acc=0.938, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:05,  2.29s/it, acc=0.938, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:05,  2.29s/it, acc=0.953, lr=0.001, test_acc=0.38] 
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:46<03:03,  2.29s/it, acc=0.953, lr=0.001, test_acc=0.38]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:46<03:03,  2.29s/it, acc=0.953, lr=0.001, test_acc=0.38]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:03,  2.29s/it, acc=0.954, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:48<03:00,  2.29s/it, acc=0.954, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:48<03:00,  2.29s/it, acc=0.954, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<03:00,  2.29s/it, acc=0.959, lr=0.001, test_acc=0.41] 
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:59,  2.30s/it, acc=0.959, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:59,  2.30s/it, acc=0.959, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:53<02:59,  2.30s/it, acc=0.949, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:53<02:56,  2.29s/it, acc=0.949, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:53<02:56,  2.29s/it, acc=0.949, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<02:56,  2.29s/it, acc=0.962, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:55<02:53,  2.29s/it, acc=0.962, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:55<02:53,  2.29s/it, acc=0.962, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:57<02:53,  2.29s/it, acc=0.962, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:57<02:51,  2.28s/it, acc=0.962, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:57<02:51,  2.28s/it, acc=0.962, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:51,  2.28s/it, acc=0.966, lr=0.001, test_acc=0.46] 
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:59<02:50,  2.30s/it, acc=0.966, lr=0.001, test_acc=0.46]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [00:59<02:50,  2.30s/it, acc=0.966, lr=0.001, test_acc=0.46]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:02<02:50,  2.30s/it, acc=0.959, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 26:  27%|██▋       | 27/100 [01:02<02:47,  2.29s/it, acc=0.959, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:02<02:47,  2.29s/it, acc=0.959, lr=0.001, test_acc=0.513]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:04<02:47,  2.29s/it, acc=0.965, lr=0.001, test_acc=0.47] 
Iter 0 | Epoch 27:  28%|██▊       | 28/100 [01:04<02:44,  2.29s/it, acc=0.965, lr=0.001, test_acc=0.47]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:04<02:44,  2.29s/it, acc=0.965, lr=0.001, test_acc=0.47]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:06<02:44,  2.29s/it, acc=0.974, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:06<02:42,  2.28s/it, acc=0.974, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:06<02:42,  2.28s/it, acc=0.974, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:09<02:42,  2.28s/it, acc=0.972, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:09<02:39,  2.28s/it, acc=0.972, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:09<02:39,  2.28s/it, acc=0.972, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:11<02:39,  2.28s/it, acc=0.963, lr=0.001, test_acc=0.423]
Iter 0 | Epoch 30:  31%|███       | 31/100 [01:11<02:38,  2.30s/it, acc=0.963, lr=0.001, test_acc=0.423]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:11<02:38,  2.30s/it, acc=0.963, lr=0.001, test_acc=0.423]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:13<02:38,  2.30s/it, acc=0.965, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 31:  32%|███▏      | 32/100 [01:13<02:35,  2.29s/it, acc=0.965, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:13<02:35,  2.29s/it, acc=0.965, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:15<02:35,  2.29s/it, acc=0.967, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 32:  33%|███▎      | 33/100 [01:15<02:33,  2.29s/it, acc=0.967, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:15<02:33,  2.29s/it, acc=0.967, lr=0.001, test_acc=0.501]
