wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run x22bas3u
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260629_211924-x22bas3u
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.9_pruning_ratio_0.3_delta_t_864
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/x22bas3u
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.9
num_mask_updates: 100
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.9 | total_steps=108000 | t_end=86400 | delta_t=864

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.146, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:30,  2.74s/it, acc=0.146, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:30,  2.74s/it, acc=0.146, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<04:30,  2.74s/it, acc=0.24, lr=0.0002, test_acc=0.165]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:04<04:00,  2.45s/it, acc=0.24, lr=0.0002, test_acc=0.165]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:04<04:00,  2.45s/it, acc=0.24, lr=0.0002, test_acc=0.165]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:00,  2.45s/it, acc=0.287, lr=0.0003, test_acc=0.258]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:49,  2.36s/it, acc=0.287, lr=0.0003, test_acc=0.258]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:49,  2.36s/it, acc=0.287, lr=0.0003, test_acc=0.258]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:49,  2.36s/it, acc=0.372, lr=0.0004, test_acc=0.357]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:42,  2.32s/it, acc=0.372, lr=0.0004, test_acc=0.357]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:42,  2.32s/it, acc=0.372, lr=0.0004, test_acc=0.357]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:42,  2.32s/it, acc=0.453, lr=0.0005, test_acc=0.35] 
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:38,  2.30s/it, acc=0.453, lr=0.0005, test_acc=0.35]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:38,  2.30s/it, acc=0.453, lr=0.0005, test_acc=0.35]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:38,  2.30s/it, acc=0.544, lr=0.0006, test_acc=0.421]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:34,  2.29s/it, acc=0.544, lr=0.0006, test_acc=0.421]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:34,  2.29s/it, acc=0.544, lr=0.0006, test_acc=0.421]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:34,  2.29s/it, acc=0.654, lr=0.0007, test_acc=0.451]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:31,  2.28s/it, acc=0.654, lr=0.0007, test_acc=0.451]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:31,  2.28s/it, acc=0.654, lr=0.0007, test_acc=0.451]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:31,  2.28s/it, acc=0.772, lr=0.0008, test_acc=0.444]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:28,  2.27s/it, acc=0.772, lr=0.0008, test_acc=0.444]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:28,  2.27s/it, acc=0.772, lr=0.0008, test_acc=0.444]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:28,  2.27s/it, acc=0.852, lr=0.0009, test_acc=0.368]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:26,  2.27s/it, acc=0.852, lr=0.0009, test_acc=0.368]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:26,  2.27s/it, acc=0.852, lr=0.0009, test_acc=0.368]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:26,  2.27s/it, acc=0.895, lr=0.001, test_acc=0.351] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:23,  2.26s/it, acc=0.895, lr=0.001, test_acc=0.351]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:23,  2.26s/it, acc=0.895, lr=0.001, test_acc=0.351]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:23,  2.26s/it, acc=0.923, lr=0.001, test_acc=0.347]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:21,  2.26s/it, acc=0.923, lr=0.001, test_acc=0.347]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:21,  2.26s/it, acc=0.923, lr=0.001, test_acc=0.347]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:21,  2.26s/it, acc=0.939, lr=0.001, test_acc=0.412]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:18,  2.26s/it, acc=0.939, lr=0.001, test_acc=0.412]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:18,  2.26s/it, acc=0.939, lr=0.001, test_acc=0.412]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:18,  2.26s/it, acc=0.946, lr=0.001, test_acc=0.351]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:29<03:16,  2.26s/it, acc=0.946, lr=0.001, test_acc=0.351]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:29<03:16,  2.26s/it, acc=0.946, lr=0.001, test_acc=0.351]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:16,  2.26s/it, acc=0.953, lr=0.001, test_acc=0.376]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:13,  2.25s/it, acc=0.953, lr=0.001, test_acc=0.376]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:13,  2.25s/it, acc=0.953, lr=0.001, test_acc=0.376]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:13,  2.25s/it, acc=0.954, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:11,  2.26s/it, acc=0.954, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:11,  2.26s/it, acc=0.954, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:11,  2.26s/it, acc=0.953, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:09,  2.25s/it, acc=0.953, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:09,  2.25s/it, acc=0.953, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:09,  2.25s/it, acc=0.956, lr=0.001, test_acc=0.405]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:38<03:07,  2.26s/it, acc=0.956, lr=0.001, test_acc=0.405]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:38<03:07,  2.26s/it, acc=0.956, lr=0.001, test_acc=0.405]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:07,  2.26s/it, acc=0.951, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:04,  2.26s/it, acc=0.951, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:04,  2.26s/it, acc=0.951, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:04,  2.26s/it, acc=0.961, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:02,  2.26s/it, acc=0.961, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:02,  2.26s/it, acc=0.961, lr=0.001, test_acc=0.402]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<03:02,  2.26s/it, acc=0.964, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:45<03:00,  2.25s/it, acc=0.964, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:45<03:00,  2.25s/it, acc=0.964, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<03:00,  2.25s/it, acc=0.96, lr=0.001, test_acc=0.433] 
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:47<02:58,  2.25s/it, acc=0.96, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:47<02:58,  2.25s/it, acc=0.96, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<02:58,  2.25s/it, acc=0.973, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:55,  2.25s/it, acc=0.973, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:55,  2.25s/it, acc=0.973, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:55,  2.25s/it, acc=0.96, lr=0.001, test_acc=0.359] 
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:53,  2.25s/it, acc=0.96, lr=0.001, test_acc=0.359]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:53,  2.25s/it, acc=0.96, lr=0.001, test_acc=0.359]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<02:53,  2.25s/it, acc=0.964, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:54<02:51,  2.26s/it, acc=0.964, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:54<02:51,  2.26s/it, acc=0.964, lr=0.001, test_acc=0.411]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:56<02:51,  2.26s/it, acc=0.967, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:56<02:49,  2.25s/it, acc=0.967, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:56<02:49,  2.25s/it, acc=0.967, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:49,  2.25s/it, acc=0.968, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:59<02:46,  2.25s/it, acc=0.968, lr=0.001, test_acc=0.422]
