wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run o1eyl8ed
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260630_200732-o1eyl8ed
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_gmp_accel_sparsity_0.0_final_sparsity_0.99_delta_t_64
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/onhmhsi1
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/o1eyl8ed
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: gmp
sparsity: 0.99
num_mask_updates: 1000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] gmp | sparsity=0.99 | total_steps=108000 | t_end=86400 | delta_t=64

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.25, lr=0.0001, test_acc=0.114]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:41,  2.84s/it, acc=0.25, lr=0.0001, test_acc=0.114]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:41,  2.84s/it, acc=0.25, lr=0.0001, test_acc=0.114]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:41,  2.84s/it, acc=0.433, lr=0.0002, test_acc=0.344]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:07,  2.52s/it, acc=0.433, lr=0.0002, test_acc=0.344]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:07,  2.52s/it, acc=0.433, lr=0.0002, test_acc=0.344]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:07,  2.52s/it, acc=0.537, lr=0.0003, test_acc=0.374]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:54,  2.42s/it, acc=0.537, lr=0.0003, test_acc=0.374]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:54,  2.42s/it, acc=0.537, lr=0.0003, test_acc=0.374]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:54,  2.42s/it, acc=0.671, lr=0.0004, test_acc=0.409]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:46,  2.35s/it, acc=0.671, lr=0.0004, test_acc=0.409]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:46,  2.35s/it, acc=0.671, lr=0.0004, test_acc=0.409]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:46,  2.35s/it, acc=0.78, lr=0.0005, test_acc=0.408] 
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:41,  2.33s/it, acc=0.78, lr=0.0005, test_acc=0.408]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:41,  2.33s/it, acc=0.78, lr=0.0005, test_acc=0.408]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:41,  2.33s/it, acc=0.788, lr=0.0006, test_acc=0.298]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:36,  2.31s/it, acc=0.788, lr=0.0006, test_acc=0.298]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:36,  2.31s/it, acc=0.788, lr=0.0006, test_acc=0.298]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:36,  2.31s/it, acc=0.8, lr=0.0007, test_acc=0.335]  
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:33,  2.29s/it, acc=0.8, lr=0.0007, test_acc=0.335]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:33,  2.29s/it, acc=0.8, lr=0.0007, test_acc=0.335]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:33,  2.29s/it, acc=0.821, lr=0.0008, test_acc=0.29]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:30,  2.28s/it, acc=0.821, lr=0.0008, test_acc=0.29]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:30,  2.28s/it, acc=0.821, lr=0.0008, test_acc=0.29]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:30,  2.28s/it, acc=0.802, lr=0.0009, test_acc=0.316]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:27,  2.28s/it, acc=0.802, lr=0.0009, test_acc=0.316]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:27,  2.28s/it, acc=0.802, lr=0.0009, test_acc=0.316]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:27,  2.28s/it, acc=0.832, lr=0.001, test_acc=0.374] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:24,  2.27s/it, acc=0.832, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:24,  2.27s/it, acc=0.832, lr=0.001, test_acc=0.374]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:24,  2.27s/it, acc=0.847, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:21,  2.27s/it, acc=0.847, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:21,  2.27s/it, acc=0.847, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:21,  2.27s/it, acc=0.878, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:19,  2.26s/it, acc=0.878, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:19,  2.26s/it, acc=0.878, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:19,  2.26s/it, acc=0.904, lr=0.001, test_acc=0.45] 
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:16,  2.26s/it, acc=0.904, lr=0.001, test_acc=0.45]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:16,  2.26s/it, acc=0.904, lr=0.001, test_acc=0.45]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:16,  2.26s/it, acc=0.928, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:14,  2.26s/it, acc=0.928, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:14,  2.26s/it, acc=0.928, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:14,  2.26s/it, acc=0.912, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:11,  2.26s/it, acc=0.912, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:11,  2.26s/it, acc=0.912, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:11,  2.26s/it, acc=0.923, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:09,  2.26s/it, acc=0.923, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:09,  2.26s/it, acc=0.923, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:09,  2.26s/it, acc=0.943, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:39<03:08,  2.28s/it, acc=0.943, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:39<03:08,  2.28s/it, acc=0.943, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:08,  2.28s/it, acc=0.941, lr=0.001, test_acc=0.428]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:09,  2.31s/it, acc=0.941, lr=0.001, test_acc=0.428]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:09,  2.31s/it, acc=0.941, lr=0.001, test_acc=0.428]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:09,  2.31s/it, acc=0.951, lr=0.001, test_acc=0.483]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:08,  2.32s/it, acc=0.951, lr=0.001, test_acc=0.483]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:08,  2.32s/it, acc=0.951, lr=0.001, test_acc=0.483]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:08,  2.32s/it, acc=0.959, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:46<03:06,  2.33s/it, acc=0.959, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:46<03:06,  2.33s/it, acc=0.959, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:06,  2.33s/it, acc=0.955, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:48<03:04,  2.34s/it, acc=0.955, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:48<03:04,  2.34s/it, acc=0.955, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<03:04,  2.34s/it, acc=0.958, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<03:03,  2.36s/it, acc=0.958, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<03:03,  2.36s/it, acc=0.958, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:53<03:03,  2.36s/it, acc=0.964, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:53<03:02,  2.37s/it, acc=0.964, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:53<03:02,  2.37s/it, acc=0.964, lr=0.001, test_acc=0.494]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<03:02,  2.37s/it, acc=0.97, lr=0.001, test_acc=0.437] 
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:55<03:00,  2.37s/it, acc=0.97, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:55<03:00,  2.37s/it, acc=0.97, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:58<03:00,  2.37s/it, acc=0.961, lr=0.001, test_acc=0.487]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:58<02:58,  2.38s/it, acc=0.961, lr=0.001, test_acc=0.487]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:58<02:58,  2.38s/it, acc=0.961, lr=0.001, test_acc=0.487]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:00<02:58,  2.38s/it, acc=0.973, lr=0.001, test_acc=0.476]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:00<02:56,  2.38s/it, acc=0.973, lr=0.001, test_acc=0.476]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:00<02:56,  2.38s/it, acc=0.973, lr=0.001, test_acc=0.476]
