wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260630_200732-okl0rmg5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_gmp_accel_sparsity_0.0_final_sparsity_0.95_delta_t_64
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/onhmhsi1
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/okl0rmg5
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: gmp
sparsity: 0.95
num_mask_updates: 1000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] gmp | sparsity=0.95 | total_steps=108000 | t_end=86400 | delta_t=64

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.251, lr=0.0001, test_acc=0.114]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:43,  2.87s/it, acc=0.251, lr=0.0001, test_acc=0.114]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:43,  2.87s/it, acc=0.251, lr=0.0001, test_acc=0.114]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:43,  2.87s/it, acc=0.429, lr=0.0002, test_acc=0.353]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:07,  2.53s/it, acc=0.429, lr=0.0002, test_acc=0.353]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:07,  2.53s/it, acc=0.429, lr=0.0002, test_acc=0.353]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:07,  2.53s/it, acc=0.534, lr=0.0003, test_acc=0.358]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:54,  2.41s/it, acc=0.534, lr=0.0003, test_acc=0.358]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:54,  2.41s/it, acc=0.534, lr=0.0003, test_acc=0.358]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:54,  2.41s/it, acc=0.667, lr=0.0004, test_acc=0.367]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:46,  2.36s/it, acc=0.667, lr=0.0004, test_acc=0.367]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:46,  2.36s/it, acc=0.667, lr=0.0004, test_acc=0.367]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:46,  2.36s/it, acc=0.755, lr=0.0005, test_acc=0.425]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:43,  2.36s/it, acc=0.755, lr=0.0005, test_acc=0.425]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:43,  2.36s/it, acc=0.755, lr=0.0005, test_acc=0.425]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:43,  2.36s/it, acc=0.812, lr=0.0006, test_acc=0.376]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:38,  2.33s/it, acc=0.812, lr=0.0006, test_acc=0.376]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:38,  2.33s/it, acc=0.812, lr=0.0006, test_acc=0.376]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:38,  2.33s/it, acc=0.795, lr=0.0007, test_acc=0.312]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:35,  2.31s/it, acc=0.795, lr=0.0007, test_acc=0.312]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:35,  2.31s/it, acc=0.795, lr=0.0007, test_acc=0.312]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:35,  2.31s/it, acc=0.814, lr=0.0008, test_acc=0.4]  
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:31,  2.30s/it, acc=0.814, lr=0.0008, test_acc=0.4]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:31,  2.30s/it, acc=0.814, lr=0.0008, test_acc=0.4]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:31,  2.30s/it, acc=0.831, lr=0.0009, test_acc=0.319]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:28,  2.29s/it, acc=0.831, lr=0.0009, test_acc=0.319]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:28,  2.29s/it, acc=0.831, lr=0.0009, test_acc=0.319]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:28,  2.29s/it, acc=0.824, lr=0.001, test_acc=0.41]  
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:25,  2.29s/it, acc=0.824, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:25,  2.29s/it, acc=0.824, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:25,  2.29s/it, acc=0.842, lr=0.001, test_acc=0.275]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:23,  2.28s/it, acc=0.842, lr=0.001, test_acc=0.275]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:23,  2.28s/it, acc=0.842, lr=0.001, test_acc=0.275]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:23,  2.28s/it, acc=0.871, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:20,  2.28s/it, acc=0.871, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:20,  2.28s/it, acc=0.871, lr=0.001, test_acc=0.427]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:20,  2.28s/it, acc=0.901, lr=0.001, test_acc=0.404]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:18,  2.28s/it, acc=0.901, lr=0.001, test_acc=0.404]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:18,  2.28s/it, acc=0.901, lr=0.001, test_acc=0.404]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:18,  2.28s/it, acc=0.906, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:15,  2.28s/it, acc=0.906, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:15,  2.28s/it, acc=0.906, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:15,  2.28s/it, acc=0.929, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:13,  2.27s/it, acc=0.929, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:13,  2.27s/it, acc=0.929, lr=0.001, test_acc=0.392]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:13,  2.27s/it, acc=0.925, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:37<03:10,  2.27s/it, acc=0.925, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:37<03:10,  2.27s/it, acc=0.925, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:10,  2.27s/it, acc=0.941, lr=0.001, test_acc=0.371]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:39<03:08,  2.27s/it, acc=0.941, lr=0.001, test_acc=0.371]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:39<03:08,  2.27s/it, acc=0.941, lr=0.001, test_acc=0.371]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:08,  2.27s/it, acc=0.937, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:06,  2.27s/it, acc=0.937, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:06,  2.27s/it, acc=0.937, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:06,  2.27s/it, acc=0.95, lr=0.001, test_acc=0.455] 
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:04,  2.27s/it, acc=0.95, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:04,  2.27s/it, acc=0.95, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:04,  2.27s/it, acc=0.951, lr=0.001, test_acc=0.486]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:46<03:01,  2.27s/it, acc=0.951, lr=0.001, test_acc=0.486]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:46<03:01,  2.27s/it, acc=0.951, lr=0.001, test_acc=0.486]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:01,  2.27s/it, acc=0.954, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:48<02:59,  2.27s/it, acc=0.954, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:48<02:59,  2.27s/it, acc=0.954, lr=0.001, test_acc=0.468]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<02:59,  2.27s/it, acc=0.962, lr=0.001, test_acc=0.489]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:57,  2.27s/it, acc=0.962, lr=0.001, test_acc=0.489]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:57,  2.27s/it, acc=0.962, lr=0.001, test_acc=0.489]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:57,  2.27s/it, acc=0.957, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:55,  2.27s/it, acc=0.957, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:55,  2.27s/it, acc=0.957, lr=0.001, test_acc=0.466]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<02:55,  2.27s/it, acc=0.967, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:55<02:52,  2.27s/it, acc=0.967, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:55<02:52,  2.27s/it, acc=0.967, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:57<02:52,  2.27s/it, acc=0.973, lr=0.001, test_acc=0.483]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:57<02:50,  2.28s/it, acc=0.973, lr=0.001, test_acc=0.483]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:57<02:50,  2.28s/it, acc=0.973, lr=0.001, test_acc=0.483]
