wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run i8pm542g
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260629_165719-i8pm542g
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.1_pruning_ratio_0.7_delta_t_8640
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/i8pm542g
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.1
num_mask_updates: 10
t_end_ratio: 0.8
pruning_ratio: 0.7
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.1 | total_steps=108000 | t_end=86400 | delta_t=8640

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.248, lr=0.0001, test_acc=0.115]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:27,  2.70s/it, acc=0.248, lr=0.0001, test_acc=0.115]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:27,  2.70s/it, acc=0.248, lr=0.0001, test_acc=0.115]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<04:27,  2.70s/it, acc=0.43, lr=0.0002, test_acc=0.364] 
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:04<03:59,  2.44s/it, acc=0.43, lr=0.0002, test_acc=0.364]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:04<03:59,  2.44s/it, acc=0.43, lr=0.0002, test_acc=0.364]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<03:59,  2.44s/it, acc=0.536, lr=0.0003, test_acc=0.427]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:49,  2.37s/it, acc=0.536, lr=0.0003, test_acc=0.427]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:49,  2.37s/it, acc=0.536, lr=0.0003, test_acc=0.427]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:49,  2.37s/it, acc=0.653, lr=0.0004, test_acc=0.385]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:43,  2.33s/it, acc=0.653, lr=0.0004, test_acc=0.385]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:43,  2.33s/it, acc=0.653, lr=0.0004, test_acc=0.385]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:43,  2.33s/it, acc=0.754, lr=0.0005, test_acc=0.255]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:38,  2.30s/it, acc=0.754, lr=0.0005, test_acc=0.255]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:38,  2.30s/it, acc=0.754, lr=0.0005, test_acc=0.255]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:38,  2.30s/it, acc=0.8, lr=0.0006, test_acc=0.287]  
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:35,  2.29s/it, acc=0.8, lr=0.0006, test_acc=0.287]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:35,  2.29s/it, acc=0.8, lr=0.0006, test_acc=0.287]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:35,  2.29s/it, acc=0.811, lr=0.0007, test_acc=0.397]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:31,  2.28s/it, acc=0.811, lr=0.0007, test_acc=0.397]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:31,  2.28s/it, acc=0.811, lr=0.0007, test_acc=0.397]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:31,  2.28s/it, acc=0.819, lr=0.0008, test_acc=0.366]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:28,  2.27s/it, acc=0.819, lr=0.0008, test_acc=0.366]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:28,  2.27s/it, acc=0.819, lr=0.0008, test_acc=0.366]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:28,  2.27s/it, acc=0.826, lr=0.0009, test_acc=0.348]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:26,  2.27s/it, acc=0.826, lr=0.0009, test_acc=0.348]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:26,  2.27s/it, acc=0.826, lr=0.0009, test_acc=0.348]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:26,  2.27s/it, acc=0.846, lr=0.001, test_acc=0.421] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:23,  2.26s/it, acc=0.846, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:23,  2.26s/it, acc=0.846, lr=0.001, test_acc=0.421]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:23,  2.26s/it, acc=0.859, lr=0.001, test_acc=0.298]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:21,  2.26s/it, acc=0.859, lr=0.001, test_acc=0.298]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:21,  2.26s/it, acc=0.859, lr=0.001, test_acc=0.298]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:21,  2.26s/it, acc=0.881, lr=0.001, test_acc=0.42] 
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:18,  2.26s/it, acc=0.881, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:18,  2.26s/it, acc=0.881, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:18,  2.26s/it, acc=0.907, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:29<03:16,  2.25s/it, acc=0.907, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:29<03:16,  2.25s/it, acc=0.907, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:16,  2.25s/it, acc=0.908, lr=0.001, test_acc=0.395]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:13,  2.26s/it, acc=0.908, lr=0.001, test_acc=0.395]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:13,  2.26s/it, acc=0.908, lr=0.001, test_acc=0.395]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:13,  2.26s/it, acc=0.934, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:11,  2.25s/it, acc=0.934, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:11,  2.25s/it, acc=0.934, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:11,  2.25s/it, acc=0.924, lr=0.001, test_acc=0.324]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:09,  2.25s/it, acc=0.924, lr=0.001, test_acc=0.324]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:09,  2.25s/it, acc=0.924, lr=0.001, test_acc=0.324]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:09,  2.25s/it, acc=0.938, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:38<03:07,  2.25s/it, acc=0.938, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:38<03:07,  2.25s/it, acc=0.938, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:07,  2.25s/it, acc=0.944, lr=0.001, test_acc=0.488]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:04,  2.26s/it, acc=0.944, lr=0.001, test_acc=0.488]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:04,  2.26s/it, acc=0.944, lr=0.001, test_acc=0.488]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:04,  2.26s/it, acc=0.952, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:02,  2.26s/it, acc=0.952, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:02,  2.26s/it, acc=0.952, lr=0.001, test_acc=0.475]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<03:02,  2.26s/it, acc=0.949, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:45<03:00,  2.26s/it, acc=0.949, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:45<03:00,  2.26s/it, acc=0.949, lr=0.001, test_acc=0.449]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<03:00,  2.26s/it, acc=0.954, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:47<02:58,  2.26s/it, acc=0.954, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:47<02:58,  2.26s/it, acc=0.954, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<02:58,  2.26s/it, acc=0.959, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:56,  2.26s/it, acc=0.959, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:56,  2.26s/it, acc=0.959, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:56,  2.26s/it, acc=0.962, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:53,  2.25s/it, acc=0.962, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:53,  2.25s/it, acc=0.962, lr=0.001, test_acc=0.477]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<02:53,  2.25s/it, acc=0.963, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:54<02:51,  2.26s/it, acc=0.963, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:54<02:51,  2.26s/it, acc=0.963, lr=0.001, test_acc=0.501]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:56<02:51,  2.26s/it, acc=0.971, lr=0.001, test_acc=0.49] 
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:56<02:49,  2.26s/it, acc=0.971, lr=0.001, test_acc=0.49]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:56<02:49,  2.26s/it, acc=0.971, lr=0.001, test_acc=0.49]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:49,  2.26s/it, acc=0.97, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:59<02:47,  2.26s/it, acc=0.97, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [00:59<02:47,  2.26s/it, acc=0.97, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:01<02:47,  2.26s/it, acc=0.97, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 26:  27%|██▋       | 27/100 [01:01<02:44,  2.26s/it, acc=0.97, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:01<02:44,  2.26s/it, acc=0.97, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:03<02:44,  2.26s/it, acc=0.966, lr=0.001, test_acc=0.456]
Iter 0 | Epoch 27:  28%|██▊       | 28/100 [01:03<02:42,  2.26s/it, acc=0.966, lr=0.001, test_acc=0.456]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:03<02:42,  2.26s/it, acc=0.966, lr=0.001, test_acc=0.456]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:05<02:42,  2.26s/it, acc=0.98, lr=0.001, test_acc=0.479] 
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:05<02:40,  2.26s/it, acc=0.98, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:05<02:40,  2.26s/it, acc=0.98, lr=0.001, test_acc=0.479]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:08<02:40,  2.26s/it, acc=0.975, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:08<02:37,  2.26s/it, acc=0.975, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:08<02:37,  2.26s/it, acc=0.975, lr=0.001, test_acc=0.474]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:10<02:37,  2.26s/it, acc=0.971, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 30:  31%|███       | 31/100 [01:10<02:35,  2.26s/it, acc=0.971, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:10<02:35,  2.26s/it, acc=0.971, lr=0.001, test_acc=0.458]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:12<02:35,  2.26s/it, acc=0.977, lr=0.001, test_acc=0.501]
